Expression,(a&&b||c)

sn,sequence,algorithm,pairs,testcase,time
0,1, SA,4,, TFT
 TFF
 TTF
 FTF,2.41
0,2, GD,4,, TFF
 TTF
 TFT
 FTF,0.98
0,3, HC,4,, TTF
 TFF
 TFT
 FTF,0.64
0,4, LAHC,4,, TFT
 TFF
 TTF
 FTF,2.71

property, sa, gd, hc, lahc
Max Time,2.41,0.98,0.64,2.71
Min Time,2.41,0.98,0.64,2.71
Avg Time,2.41,0.98,0.64,2.71
Highest Paris, 4, 4, 4, 4
Lowest Paris, 4, 4, 4, 4


Generated by,MCDC Pro
Date,Jan 09 2015 - 01.55
