Expression,(a&&b||c)

sn,sequence,algorithm,pairs,testcase,time
0,1, SA,4,, TFF TTF FTF FTT,1.51
0,2, GD,5,, FTF TTF FFF FFT TFF,1.87
0,3, HC,4,, TFT TFF TTF FTF,0.34
0,4, LAHC,4,, TTF TFF FTF FTT,4.75

property, sa, gd, hc, lahc
Max Time,1.51,1.87,0.34,4.75
Min Time,1.51,1.87,0.34,4.75
Avg Time,1.51,1.87,0.34,4.75
Highest Paris, 4, 5, 4, 4
Lowest Paris, 4, 5, 4, 4


Generated by,MCDC Pro
Date,Jan 09 2015 - 02.13
